judging_session,Study,project_id,citation,doi,open_data,note,study_name,items,judge_expertise,judging_prompt,adaptivity,comment,source,ssr,sepG,mean_split_corr,mean_eloR,mean_eloR_weighted,elo_btm_correlation,num_pairs,num_pairs_judged,prop_pairs_judged,prop_correct_judgements
LuckettX_odor-pleasant,Luckett (n.d.)b,LuckettX,"Luckett, C. (n.d.) Unpublished data.",NA,FALSE,NA,odor-pleasant,"samples of odors (vanillin, linalool, r-carvone, pentyl acetate, phenylethyl alcohol, methyl scalicylate)",layperson,which odor is more pleasant,FALSE,NA,snowballing,0.958854974,4.929936575,0.935568197,0.663946156,0.725848669,0.999980917,10,10,1,0.709615385
Marshall2020_statistics,Marshall et al. (2020)a,Marshall2020,"Marshall, N., Shaw, K., Hunter, J., & Jones, I. (2020). Assessment by Comparative Judgement: An Application to Secondary Statistics and English in New Zealand. New Zealand Journal of Educational Studies, 55(1), 49–71.",10.1007/s40841-020-00163-3,FALSE,NA,statistics,Secondary student statistics projects,expert,"unstated, but judges attended a training session",FALSE,NA,NA,0.901594052,3.187787212,0.796059887,0.721832378,0.827238862,0.990195914,7021,1909,0.27189859,0.798534799
Marshall2020_written,Marshall et al. (2020)b,Marshall2020,"Marshall, N., Shaw, K., Hunter, J., & Jones, I. (2020). Assessment by Comparative Judgement: An Application to Secondary Statistics and English in New Zealand. New Zealand Journal of Educational Studies, 55(1), 49–71.",10.1007/s40841-020-00163-3,FALSE,NA,written,Secondary student written reports,expert,"unstated, but judges attended a training session",FALSE,NA,NA,0.846216476,2.550028861,0.721513171,0.745893298,0.855240134,0.974257561,31878,1853,0.058127862,0.876077586
McMahon2014_peer,McMahon & Jones (2014)a,McMahon2014,"McMahon, S., & Jones, I. (2015). A comparative judgement approach to teacher assessment. Assessment in Education: Principles, Policy & Practice, 22(3), 368–389. https://doi.org/10.1080/0969594X.2014.978839",10.1080/0969594x.2014.978839,FALSE,NA,peer,Secondary student chemistry experiment write-ups,peer,select the best science report,TRUE,NA,NA,0.899163751,3.149137759,0.79133882,0.690519218,0.780613074,0.998916358,11781,3170,0.269077328,0.75631381
McMahon2014_teachers,McMahon & Jones (2014)b,McMahon2014,"McMahon, S., & Jones, I. (2015). A comparative judgement approach to teacher assessment. Assessment in Education: Principles, Policy & Practice, 22(3), 368–389. https://doi.org/10.1080/0969594X.2014.978839",10.1080/0969594x.2014.978839,FALSE,NA,teachers,Secondary student chemistry experiment write-ups,expert,select the best science report,TRUE,NA,NA,0.88439424,2.9411032,0.749034275,0.761732505,0.871533631,0.981797909,11781,1459,0.123843477,0.868387097
Ofqual2015,Ofqual (2015),Ofqual2015,"Ofqual (2015). A Comparison of Expected Difficulty, Actual Difficulty and Assessment of Problem Solving across GCSE Maths Sample Assessment Materials. https://tinyurl.com/y8v2e4xx",NA,FALSE,NA,NA,International secondary maths items (without student responses),expert,Which Item is the More Mathematically Difficult to Answer Fully?,FALSE,NA,snowballing,0.87243167,2.799810024,0.739002222,0.693677787,0.790263036,0.99043614,2310175,35000,0.015150367,0.771028571
Pollitt2012a,Whitehouse & Pollitt (2012),Pollitt2012a,"Whitehouse, C., & Pollitt, A. (2012). Using adaptive comparative judgement to obtain a highly reliable rank order in summative assessment. Manchester, NH: AQA Centre for Education Research and Policy. Retrieved from https://cerp.aqa.org.uk/research-library/using-adaptive-comparative-judgement-obtain-highly-reliable-rank-order-summative-assessment",NA,FALSE,NA,NA,GCSE Geography essays,expert,which essay demonstrated the stronger performance?,TRUE,NA,NA,0.977999626,6.741941247,0.8710961,0.579248006,0.631998263,0.852102037,158766,3303,0.020804202,0.886331344
Pollitt2017_example2,Pollitt (2017)a,Pollitt2017,"Pollitt, A. (2017). Using professional judgement to equate exam standards. In Standard Setting in Education (pp. 279-298). Springer, Cham.",10.1007/978-3-319-50856-6_16,FALSE,NA,example2,Papers from accountancy exams for age 17/18,expert,"not explicitly stated, but based on quality",FALSE,NA,NA,0.944382989,4.240296018,0.897444774,0.813467165,0.922659804,0.992133992,7381,2052,0.27801111,0.887536514
Pollitt2017_example4,Pollitt (2017)b,Pollitt2017,"Pollitt, A. (2017). Using professional judgement to equate exam standards. In Standard Setting in Education (pp. 279-298). Springer, Cham.",10.1007/978-3-319-50856-6_16,FALSE,NA,example4,"Pilot Level 4 Writing Tests, for pupils aged 9-12 years in England",expert,"not explicitly stated, but based on quality",TRUE,NA,NA,0.948559547,4.409076222,0.807717917,0.603967194,0.673180909,0.935622297,498501,7222,0.014487433,0.818404607
PollittX_art1,Pollitt (n.d.)a,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,art1,Visual art pieces from high schools,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.913636537,3.402788644,0.725196805,0.616769618,0.698758347,0.955450997,2775,427,0.153873874,0.826612903
PollittX_art2,Pollitt (n.d.)b,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,art2,Art pieces from high schools,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.913911106,3.408210702,0.724510212,0.617099544,0.698802541,0.955602889,2775,428,0.154234234,0.826961771
PollittX_business,Pollitt (n.d.)c,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,business,Exam scripts of 17/18 yo Business students,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.873331624,2.809738476,0.69177354,0.594339933,0.647253099,0.948475099,780,175,0.224358974,0.855
PollittX_college,Pollitt (n.d.)d,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,college,FE College Students’ portfolios on a given topic,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.933583338,3.880265809,0.644947061,0.577816964,0.61590403,0.894302075,2556,347,0.135758998,0.849148418
PollittX_design,Pollitt (n.d.)e,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,design,Exam scripts of 17/18 yo Design students,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.978777117,6.864324586,0.902650633,0.573083959,0.619080439,0.892007369,68265,2434,0.035655167,0.868820553
PollittX_efl-oracy,Pollitt (n.d.)f,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,efl-oracy,Tape recordings of international candidates' Oral performances,expert,Which student speaks better?,unknown,NA,snowballing,0.970854899,5.857566337,0.871479893,0.565644975,0.611590948,0.896161195,8911,803,0.090113343,0.827253219
PollittX_efl-writing,Pollitt (n.d.)g,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,efl-writing,EFL writing in a European country,expert,Which is better? (without any specific training),unknown,NA,snowballing,0.974410568,6.251290388,0.907498321,0.602441934,0.671671938,0.918608339,4950,750,0.151515152,0.801
PollittX_ielts-writing,Pollitt (n.d.)h,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,ielts-writing,IELTS writing scripts,expert,Which student is better at writing in English?,unknown,NA,snowballing,0.960890391,5.056596088,0.850670618,0.585504717,0.632286573,0.880191718,4005,534,0.133333333,0.82629108
PollittX_mcq-difficulty,Pollitt (n.d.)i,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,mcq-difficulty,Multiple Choice items from a professional qualification test,expert,Which item do you think will be the more difficult?,unknown,NA,snowballing,0.981346278,7.321789653,0.905810484,0.584787847,0.629966045,0.854914887,19900,1665,0.083668342,0.826673327
PollittX_music,Pollitt (n.d.)j,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,music,Music performances,expert,Which performance was better?,unknown,NA,snowballing,0.963404561,5.227409469,0.784420519,0.569480067,0.615086471,0.893829003,322806,3887,0.012041288,0.913693346
PollittX_peer-assessment,Pollitt (n.d.)k,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,peer-assessment,Technical Design Brief portfolios written by University Teacher Training students,peer,The student judge analysed each portfolio for evidence of capability and then decided on which portfolio was better.,unknown,NA,snowballing,0.90440007,3.234232314,0.740532885,0.586907324,0.656763085,0.929901998,8128,909,0.11183563,0.753930818
PollittX_philosophy1,Pollitt (n.d.)l,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,philosophy1,Essays in a philosophy exam,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.973444824,6.13656592,0.863524648,0.56048328,0.60080766,0.879350757,244650,4253,0.017384018,0.864066727
PollittX_philosophy2a,Pollitt (n.d.)m,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,philosophy2a,Essays in a philosophy exam,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.951666176,4.548565187,0.780029857,0.562489242,0.598352528,0.907899922,51040,1562,0.030603448,0.883229814
PollittX_philosophy2b,Pollitt (n.d.)n,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,philosophy2b,Essays in a philosophy exam,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.950338468,4.48735,0.780947874,0.551064769,0.586235128,0.909264156,51040,1560,0.030564263,0.876619371
PollittX_philosophy2c,Pollitt (n.d.)o,PollittX,"Pollitt, A. (n.d.). Unpublished data.",NA,FALSE,NA,philosophy2c,Essays in a philosophy exam,expert,Which is better? But I don't know the exact wording.,unknown,NA,snowballing,0.962782356,5.183529377,0.817009138,0.550829,0.585976704,0.906979449,51040,1580,0.030956113,0.8908645
Ramos2021_Auckland,Ramos et al. (2021)a,Ramos2021,"Mejía Ramos, J.P., Evans, T., Rittberg, C. et al. Mathematicians’ Assessments of the Explanatory Value of Proofs. Axiomathes (2021). ",10.1007/s10516-021-09545-8,https://doi.org/10.17028/rd.lboro.12458486.v1,NA,Auckland,Mathematical explanations,expert,which argument best explains why the proposition holds,FALSE,NA,NA,0.953453413,4.635067684,0.872590652,0.785548465,0.869829236,0.999419483,36,36,1,0.825
Ramos2021_Rutgers,Ramos et al. (2021)b,Ramos2021,"Mejía Ramos, J.P., Evans, T., Rittberg, C. et al. Mathematicians’ Assessments of the Explanatory Value of Proofs. Axiomathes (2021). ",10.1007/s10516-021-09545-8,https://doi.org/10.17028/rd.lboro.12458486.v1,NA,Rutgers,Mathematical explanations,expert,which argument best explains why the proposition holds,FALSE,NA,NA,0.962879899,5.19033546,0.901700777,0.733134191,0.839503625,0.999810932,36,36,1,0.756818182
Sangwin2021_study1-insight,Sangwin & Kinnear (2021)a,Sangwin2021,"Sangwin, C., & Kinnear, G. (2021, June 4). Investigating insight and rigour as separate constructs in mathematical proof. https://doi.org/10.35542/osf.io/egks4",NA,http://doi.org/10.5281/zenodo.4893915,NA,study1-insight,proofs,novice,select the proof which gives more insight,FALSE,NA,snowballing,0.888506487,2.994850856,0.725621832,0.64663853,0.717240128,0.99981096,78,77,0.987179487,0.715859031
Sangwin2021_study1-rigour,Sangwin & Kinnear (2021)b,Sangwin2021,"Sangwin, C., & Kinnear, G. (2021, June 4). Investigating insight and rigour as separate constructs in mathematical proof. https://doi.org/10.35542/osf.io/egks4",NA,http://doi.org/10.5281/zenodo.4893915,NA,study1-rigour,proofs,novice,select the proof which is more rigorous,FALSE,NA,snowballing,0.947780323,4.376056368,0.895254044,0.762077154,0.867420594,0.998588103,78,78,1,0.794520548
Sangwin2021_study2-insight,Sangwin & Kinnear (2021)c,Sangwin2021,"Sangwin, C., & Kinnear, G. (2021, June 4). Investigating insight and rigour as separate constructs in mathematical proof. https://doi.org/10.35542/osf.io/egks4",NA,http://doi.org/10.5281/zenodo.4893915,NA,study2-insight,proofs,novice,which proof gives more insight into why the theorem is true?,FALSE,NA,snowballing,0.724196683,1.904146056,0.437722675,0.569980432,0.606936006,0.999388717,105,105,1,0.641552511
Sangwin2021_study2-marks,Sangwin & Kinnear (2021)d,Sangwin2021,"Sangwin, C., & Kinnear, G. (2021, June 4). Investigating insight and rigour as separate constructs in mathematical proof. https://doi.org/10.35542/osf.io/egks4",NA,http://doi.org/10.5281/zenodo.4893915,NA,study2-marks,proofs,novice,which proof would get the most marks in an assessment?,FALSE,NA,snowballing,0.922127028,3.583493542,0.857734261,0.732044626,0.83039373,0.998403873,105,101,0.961904762,0.795811518
Sangwin2021_study2-rigour,Sangwin & Kinnear (2021)e,Sangwin2021,"Sangwin, C., & Kinnear, G. (2021, June 4). Investigating insight and rigour as separate constructs in mathematical proof. https://doi.org/10.35542/osf.io/egks4",NA,http://doi.org/10.5281/zenodo.4893915,NA,study2-rigour,proofs,novice,which proof is more rigorous?,FALSE,NA,snowballing,0.942213534,4.159938701,0.880718669,0.698472884,0.794956555,0.999583915,105,104,0.99047619,0.753144654
Sangwin2021_study2-simple,Sangwin & Kinnear (2021)f,Sangwin2021,"Sangwin, C., & Kinnear, G. (2021, June 4). Investigating insight and rigour as separate constructs in mathematical proof. https://doi.org/10.35542/osf.io/egks4",NA,http://doi.org/10.5281/zenodo.4893915,NA,study2-simple,proofs,novice,which proof is the simplest?,FALSE,NA,snowballing,0.91105547,3.353052693,0.821937814,0.681372672,0.762081968,0.999823275,105,105,1,0.735741445
Sangwin2021_study2-understanding,Sangwin & Kinnear (2021)g,Sangwin2021,"Sangwin, C., & Kinnear, G. (2021, June 4). Investigating insight and rigour as separate constructs in mathematical proof. https://doi.org/10.35542/osf.io/egks4",NA,http://doi.org/10.5281/zenodo.4893915,NA,study2-understanding,proofs,novice,which proof best helps you understand why the theorem is true?,FALSE,NA,snowballing,0.84495194,2.539608848,0.674761569,0.596646593,0.646899141,0.999808492,105,105,1,0.680851064
Settembri2018,Settembri et al. (2018),Settembri2018,"Settembri, P., Van Gasse, R., Coertjens, L., & De Maeyer, S. (2018). Oranges and Apples? Using Comparative Judgement for Reliable Briefing Paper Assessment in Simulation Games. In Simulations of Decision-Making as Active Learning Tools (pp. 93-108). Springer, Cham.",10.1007/978-3-319-74147-5_8,FALSE,NA,NA,Political science students briefing documents,expert,not stated,FALSE,NA,NA,0.734332425,1.940129524,0.454957603,0.629568875,0.713139946,0.987633385,3486,622,0.178427998,0.760450161
Smith2020,Smith (2020),Smith2020,"Smith, M. (2020). Adaptive Comparative Judgement. In Practice-Focused Research in Further Adult and Vocational Education (pp. 77-98). Palgrave Macmillan, Cham.",10.1007/978-3-030-38994-9_5,FALSE,NA,NA,GSCE Creative writing samples,expert,Choose the most proficient text,TRUE,NA,NA,0.932029643,3.835661082,0.719016718,0.740773569,0.83185161,0.999613827,105,105,1,0.796391753
Spehar2016_expt2-Edges,Spehar et al. (2016)a,Spehar2016,"Spehar, B., Walker, N., & Taylor, R. P. (2016). Taxonomy of individual variations in aesthetic responses to fractal patterns. Frontiers in human neuroscience, 10, 350.",10.3389/fnhum.2016.00350,FALSE,Data for Experiment 1 was not available - see https://github.com/georgekinnear/cj-meta-analysis/issues/11,expt2-Edges,Images of fractals,layperson,Which [fractal] appears more complex?,FALSE,NA,NA,0.890422224,3.020916765,0.506731934,0.521091162,0.532123655,0.997703344,36,36,1,0.573055556
Spehar2016_expt2-Fracts,Spehar et al. (2016)b,Spehar2016,"Spehar, B., Walker, N., & Taylor, R. P. (2016). Taxonomy of individual variations in aesthetic responses to fractal patterns. Frontiers in human neuroscience, 10, 350.",10.3389/fnhum.2016.00350,FALSE,Data for Experiment 1 was not available - see https://github.com/georgekinnear/cj-meta-analysis/issues/11,expt2-Fracts,Images of fractals,layperson,Which [fractal] appears more complex?,FALSE,NA,NA,0.978696215,6.851278422,0.912176847,0.599157773,0.640611191,0.999894683,36,36,1,0.665
Spehar2016_expt2-Mountain,Spehar et al. (2016)c,Spehar2016,"Spehar, B., Walker, N., & Taylor, R. P. (2016). Taxonomy of individual variations in aesthetic responses to fractal patterns. Frontiers in human neuroscience, 10, 350.",10.3389/fnhum.2016.00350,FALSE,Data for Experiment 1 was not available - see https://github.com/georgekinnear/cj-meta-analysis/issues/11,expt2-Mountain,Images of fractals,layperson,Which [fractal] appears more complex?,FALSE,NA,NA,0.942277726,4.162251156,0.693925266,0.540169739,0.55985589,0.999237575,36,36,1,0.597222222
Spehar2016_expt2-Plain,Spehar et al. (2016)d,Spehar2016,"Spehar, B., Walker, N., & Taylor, R. P. (2016). Taxonomy of individual variations in aesthetic responses to fractal patterns. Frontiers in human neuroscience, 10, 350.",10.3389/fnhum.2016.00350,FALSE,Data for Experiment 1 was not available - see https://github.com/georgekinnear/cj-meta-analysis/issues/11,expt2-Plain,Images of fractals,layperson,Which [fractal] appears more complex?,FALSE,NA,NA,0.851514145,2.595120079,0.41068374,0.514948598,0.522841293,0.996032691,36,36,1,0.561388889
Spehar2016_expt2-Thr,Spehar et al. (2016)e,Spehar2016,"Spehar, B., Walker, N., & Taylor, R. P. (2016). Taxonomy of individual variations in aesthetic responses to fractal patterns. Frontiers in human neuroscience, 10, 350.",10.3389/fnhum.2016.00350,FALSE,Data for Experiment 1 was not available - see https://github.com/georgekinnear/cj-meta-analysis/issues/11,expt2-Thr,Images of fractals,layperson,Which [fractal] appears more complex?,FALSE,NA,NA,0.94015878,4.087895467,0.719202873,0.538913249,0.558006948,0.997575367,36,36,1,0.594722222
StadthagenGonzalez2019_eng-to-spa,Stadthagen-Gonzalez et al. (2019)a,StadthagenGonzalez2019,"Stadthagen-González, H., Parafita Couto, M. C., Párraga, C. A., & Damian, M. F. (2019). Testing alternative theoretical accounts of code-switching: Insights from comparative judgments of adjective–noun order. International Journal of Bilingualism, 23(1), 200-220.",10.1177/1367006917728390,FALSE,NA,eng-to-spa,Sentences that start off in English then switch to Spanish,layperson,pick the one closer to the way they would speak to another bilingual person,FALSE,There are 5 base sentences with 4 variants. The paper summarises the scores at the level of the variants.,snowballing,0.940467505,4.098481296,0.915524206,0.724150937,0.794188596,0.999623362,190,30,0.157894737,0.758333333
StadthagenGonzalez2019_spa-to-eng,Stadthagen-Gonzalez et al. (2019)b,StadthagenGonzalez2019,"Stadthagen-González, H., Parafita Couto, M. C., Párraga, C. A., & Damian, M. F. (2019). Testing alternative theoretical accounts of code-switching: Insights from comparative judgments of adjective–noun order. International Journal of Bilingualism, 23(1), 200-220.",10.1177/1367006917728390,FALSE,NA,spa-to-eng,Sentences that start off in Spanish then switch to English,layperson,pick the one closer to the way they would speak to another bilingual person,FALSE,There are 5 base sentences with 4 variants. The paper summarises the scores at the level of the variants.,snowballing,0.893562472,3.065156195,0.866311006,0.628246651,0.693310236,0.999700773,190,30,0.157894737,0.655
Vatavu2019,Vanderdonckt et al. (2019),Vatavu2019,"Vanderdonckt, J., Zen, M., & Vatavu, R. D. (2019). AB4Web: An on-line A/B tester for comparing user interface design alternatives. Proceedings of the ACM on Human-Computer Interaction, 3(EICS), 1-28.",10.1145/3331160,FALSE,NA,NA,graphical adaptive menus,layperson,select the variant they preferred by relying solely on visual aesthetics,FALSE,NA,snowballing,0.949535179,4.451492332,0.874212567,0.646910437,0.722546872,0.999757163,1176,1146,0.974489796,0.696499014
Vatavu2020,Vatavu & Vanderdonckt (2020),Vatavu2020,"Vatavu, R. D., & Vanderdonckt, J. (2020, November). Design Space and Users’ Preferences for Smartglasses Graphical Menus: A Vignette Study. In 19th International Conference on Mobile and Ubiquitous Multimedia (pp. 1-12).",10.1145/3428361.3428467,FALSE,NA,NA,menu layout preference,layperson,select the variants  preferred most by relying exclusively on the visual appearance of the presented information,FALSE,NA,NA,0.985343602,8.260120281,0.962063721,0.629930873,0.684210064,0.999686973,91,77,0.846153846,0.675966641
Zucco2019_experts,Zucco et al. (2019)a,Zucco2019,"Zucco Jr, C., Batista, M., & Power, T. J. (2019). Measuring portfolio salience using the Bradley–Terry model: An illustration with data from Brazil. Research & Politics, 6(1), 2053168019832089.",10.1177/2053168019832089,https://doi.org/10.7910/DVN/HJZSIM,NA,experts,Brazilian governmental portfolios,expert,Which portfolio is most valuable?,FALSE,NA,NA,0.97711976,6.611038886,0.948681837,0.635418223,0.701505366,0.997475349,666,391,0.587087087,0.684940342
Zucco2019_legislators,Zucco et al. (2019b,Zucco2019,"Zucco Jr, C., Batista, M., & Power, T. J. (2019). Measuring portfolio salience using the Bradley–Terry model: An illustration with data from Brazil. Research & Politics, 6(1), 2053168019832089.",10.1177/2053168019832089,https://doi.org/10.7910/DVN/HJZSIM,NA,legislators,Brazilian governmental portfolios,expert,Which portfolio is most valuable?,FALSE,NA,NA,0.803255493,2.254491967,0.54122205,0.592859878,0.638528495,0.858764994,666,187,0.280780781,0.685714286
